chunk,model,rows,train_inner_size,val_size,test_size,train_inner_fraud_rate,val_fraud_rate,test_fraud_rate,val_pr_auc,test_pr_auc,threshold_max_f1_val,val_f1_at_threshold,test_f1,test_TN,test_FP,test_FN,test_TP
2,xgb_undersample,536266,35574,85803,107254,0.09090909090909091,0.011922660046851509,0.007719991795177802,0.7843731785156502,0.42313022760372354,0.911459743976593,0.7421109902062528,0.5025906735751295,105809,617,343,485
2,xgb_class_weight,536266,343209,85803,107254,0.009422829820896305,0.011922660046851509,0.007719991795177802,0.8337929986854821,0.7726125322948806,0.9947657585144043,0.7987421383642825,0.7109471094710947,106206,220,250,578
3,xgb_undersample,536266,41734,85803,107254,0.09090909090909091,0.010395906903022039,0.01021873310086337,0.917719491415293,0.9213192160761663,0.7795715928077698,0.8545673076918103,0.8540816326530613,106131,27,259,837
3,xgb_class_weight,536266,343209,85803,107254,0.011054488664341553,0.010395906903022039,0.01021873310086337,0.9137775174786769,0.910009843172346,0.9520509839057922,0.8483816013623621,0.8433382137628112,106069,89,232,864
4,xgb_undersample,536266,39996,85803,107254,0.09090909090909091,0.014008834189946738,0.008409942752717846,0.865332947022074,0.6196620276524295,0.7152434587478638,0.7821229050274334,0.08656062701705855,90653,15699,151,751
4,xgb_class_weight,536266,343209,85803,107254,0.0105941277763695,0.014008834189946738,0.008409942752717846,0.8628661125992827,0.5682208602175101,0.9484035968780518,0.7720773759456734,0.07148017918212032,87235,19117,160,742
5,xgb_undersample,536266,36971,85803,107254,0.09090909090909091,0.00674801580364323,0.008456561060659742,0.9558438008210731,0.28810077802077794,0.7146347165107727,0.9274047186927861,0.1464905185584614,96942,9405,92,815
5,xgb_class_weight,536266,343209,85803,107254,0.009792866737177637,0.00674801580364323,0.008456561060659742,0.958601957258518,0.3499836188581307,0.9568818211555481,0.9225092250917531,0.09657469077069458,91250,15097,95,812
6,xgb_undersample,536266,41756,85803,107254,0.09090909090909091,0.01214409752572754,0.010097525500214444,0.9270394756972654,0.326790506610506,0.742541491985321,0.8872329855931419,0.07980972515856237,85456,20715,177,906
6,xgb_class_weight,536266,343209,85803,107254,0.011060316017353857,0.01214409752572754,0.010097525500214444,0.9238122286561129,0.44393738591176746,0.9655057191848755,0.8780241935478882,0.09348309953931364,88838,17333,180,903
7,xgb_undersample,536266,52932,85803,107254,0.09090909090909091,0.00982483129960491,0.01678259085908218,0.9177326767127897,0.9304794089520193,0.8074483275413513,0.8442408376958404,0.8468914321064027,105390,64,431,1369
7,xgb_class_weight,536266,343209,85803,107254,0.01402061134760452,0.00982483129960491,0.01678259085908218,0.9144934180134561,0.9248112049508359,0.9766181707382202,0.8517060367449124,0.8418114143920595,105387,67,443,1357
8,xgb_undersample,536266,45892,85803,107254,0.09090909090909091,0.014055452606552218,0.012260614988718369,0.9437993767917584,0.9299307106160836,0.8740565180778503,0.8967391304342869,0.8646325741297808,105933,6,309,1006
8,xgb_class_weight,536266,343209,85803,107254,0.012155858383667095,0.014055452606552218,0.012260614988718369,0.9381076564470756,0.9206572105003868,0.9606438279151917,0.8964927288275587,0.8850060950832995,105882,57,226,1089
9,xgb_undersample,536266,48433,85803,107254,0.09090909090909091,0.011153456172861089,0.009146512018199788,0.7612122849316264,0.7705902776246909,0.9113184809684753,0.7359307359302528,0.7485843714609286,106149,124,320,661
9,xgb_class_weight,536266,343209,85803,107254,0.01282891765658826,0.011153456172861089,0.009146512018199788,0.7184209379764958,0.7273793785176349,0.9972978234291077,0.724984266834008,0.7426597582037997,106162,111,336,645
10,xgb_undersample,536266,29755,85803,107254,0.09090909090909091,0.005186298847359649,0.004773714733250042,0.9684578408870393,0.9085951984542344,0.8201680183410645,0.9699074074069078,0.38977635782747605,105238,1504,24,488
10,xgb_class_weight,536266,343209,85803,107254,0.007881494949141777,0.005186298847359649,0.004773714733250042,0.97120650906107,0.909076505263823,0.988055408000946,0.9699074074069078,0.35,104944,1798,22,490
11,xgb_undersample,536266,21659,85803,107254,0.09090909090909091,0.00892742677994942,0.005174632181550338,0.9701877929035525,0.8191475883257127,0.5124960541725159,0.9766199064791262,0.04063769928102532,82182,24517,35,520
11,xgb_class_weight,536266,343209,85803,107254,0.005737029040613737,0.00892742677994942,0.005174632181550338,0.9745404921722778,0.7996609990693887,0.811423122882843,0.9786666666661669,0.04136022143139581,82487,24212,32,523
12,xgb_undersample,536266,30811,85803,107254,0.09090909090909091,0.01677097537382143,0.01694109310608462,0.9782540110171509,0.9761249742665383,0.38463395833969116,0.9798087141334003,0.9763513513513513,105436,1,83,1734
12,xgb_class_weight,536266,343209,85803,107254,0.00816120789373239,0.01677097537382143,0.01694109310608462,0.9802284701397027,0.9779503713311508,0.8250901103019714,0.9826916283993588,0.9803591470258137,105437,0,70,1747
13,xgb_undersample,536266,62854,85803,107254,0.09090909090909091,0.018484202184072818,0.016474910026665672,0.9803396739344264,0.9582152375177123,0.7134153246879578,0.9784773530351571,0.8487269096355466,104948,539,67,1700
13,xgb_class_weight,536266,343209,85803,107254,0.01664874755615383,0.018484202184072818,0.016474910026665672,0.9816317225451426,0.973715997201159,0.8796407580375671,0.9782330345705628,0.829683698296837,104849,638,62,1705
14,xgb_undersample,536266,55363,85803,107254,0.09090909090909091,0.010232742444902859,0.013584574934268186,0.9844487464754117,0.9863720216182901,0.6774177551269531,0.9861431870664746,0.9846689895470383,105797,0,44,1413
14,xgb_class_weight,536266,343209,85803,107254,0.014664533855464163,0.010232742444902859,0.013584574934268186,0.9850596565716085,0.9864839031586743,0.7983214855194092,0.9867282169643009,0.9874913134120917,105797,0,36,1421
